model_label,state,q,n_display,counts,chosen_role,n
gemma4_31B_dense,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",0,134
gemma4_31B_dense,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",1,14
gemma4_31B_dense,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",9,2
gemma4_31B_dense,q10_strong_runner,10,49,"[14, 12, 3, 3, 3, 3, 3, 3, 3, 2]",0,129
gemma4_31B_dense,q10_strong_runner,10,49,"[14, 12, 3, 3, 3, 3, 3, 3, 3, 2]",1,21
gemma4_31B_dense,q10_two_leader_tie,10,49,"[14, 14, 3, 3, 3, 3, 3, 2, 2, 2]",0,70
gemma4_31B_dense,q10_two_leader_tie,10,49,"[14, 14, 3, 3, 3, 3, 3, 2, 2, 2]",1,80
gemma4_31B_dense,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",0,68
gemma4_31B_dense,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",1,24
gemma4_31B_dense,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",2,36
gemma4_31B_dense,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",3,14
gemma4_31B_dense,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",4,8
gemma4_31B_dense,q5_online_control,5,49,"[20, 8, 7, 7, 7]",0,149
gemma4_31B_dense,q5_online_control,5,49,"[20, 8, 7, 7, 7]",2,1
gemma4_31B_dense,q5_staircase,5,49,"[20, 15, 10, 2, 2]",0,143
gemma4_31B_dense,q5_staircase,5,49,"[20, 15, 10, 2, 2]",1,6
gemma4_31B_dense,q5_staircase,5,49,"[20, 15, 10, 2, 2]",4,1
gemma4_31B_dense,q5_strong_runner,5,49,"[20, 17, 5, 5, 2]",0,135
gemma4_31B_dense,q5_strong_runner,5,49,"[20, 17, 5, 5, 2]",1,14
gemma4_31B_dense,q5_strong_runner,5,49,"[20, 17, 5, 5, 2]",4,1
gemma4_31B_dense,q5_two_leader_tie,5,49,"[17, 17, 5, 5, 5]",0,81
gemma4_31B_dense,q5_two_leader_tie,5,49,"[17, 17, 5, 5, 5]",1,68
gemma4_31B_dense,q5_two_leader_tie,5,49,"[17, 17, 5, 5, 5]",4,1
gemma4_E4B_it,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",0,89
gemma4_E4B_it,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",1,48
gemma4_E4B_it,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",2,11
gemma4_E4B_it,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",3,1
gemma4_E4B_it,q10_staircase,10,49,"[12, 10, 7, 5, 4, 3, 3, 2, 2, 1]",4,1
gemma4_E4B_it,q10_strong_runner,10,49,"[14, 12, 3, 3, 3, 3, 3, 3, 3, 2]",0,91
gemma4_E4B_it,q10_strong_runner,10,49,"[14, 12, 3, 3, 3, 3, 3, 3, 3, 2]",1,59
gemma4_E4B_it,q10_two_leader_tie,10,49,"[14, 14, 3, 3, 3, 3, 3, 2, 2, 2]",0,75
gemma4_E4B_it,q10_two_leader_tie,10,49,"[14, 14, 3, 3, 3, 3, 3, 2, 2, 2]",1,75
gemma4_E4B_it,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",0,44
gemma4_E4B_it,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",1,28
gemma4_E4B_it,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",2,41
gemma4_E4B_it,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",3,19
gemma4_E4B_it,q5_one_agent_lead,5,49,"[11, 10, 10, 9, 9]",4,18
gemma4_E4B_it,q5_online_control,5,49,"[20, 8, 7, 7, 7]",0,146
gemma4_E4B_it,q5_online_control,5,49,"[20, 8, 7, 7, 7]",1,1
gemma4_E4B_it,q5_online_control,5,49,"[20, 8, 7, 7, 7]",2,1
gemma4_E4B_it,q5_online_control,5,49,"[20, 8, 7, 7, 7]",3,1
