model_label,model_id,model_revision,condition_id,label_mode,semantic_set,q,N,run,run_seed,initial_counts,scheduled_horizon_sweeps,event_observed,consensus_step,consensus_time_sweeps,observed_time_sweeps,counts,leader_share,n_active_opinions,winner_label,surviving_opinions,invalid_count,valid_count,flip_count,reactivation_count,valid_response_rate,temperature,top_p,max_new_tokens
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_matched_political_q6_N50,neutral_per_query,,6,50,0,90060057,"{""aa"": 8, ""ab"": 9, ""ac"": 8, ""ad"": 9, ""ae"": 8, ""af"": 8}",100,True,213.0,4.26,4.26,"{""aa"": 0, ""ab"": 0, ""ac"": 50, ""ad"": 0, ""ae"": 0, ""af"": 0}",1.0,1,ac,"[""ac""]",0,213,59,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_matched_political_q6_N50,neutral_per_query,,6,50,1,90160057,"{""aa"": 8, ""ab"": 8, ""ac"": 8, ""ad"": 8, ""ae"": 9, ""af"": 9}",100,True,491.0,9.82,9.82,"{""aa"": 0, ""ab"": 50, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0}",1.0,1,ab,"[""ab""]",0,491,59,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_matched_political_q6_N50,neutral_per_query,,6,50,2,90260057,"{""aa"": 9, ""ab"": 8, ""ac"": 9, ""ad"": 8, ""ae"": 8, ""af"": 8}",100,True,264.0,5.28,5.28,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 50, ""af"": 0}",1.0,1,ae,"[""ae""]",0,264,77,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N100,neutral_per_query,,10,100,0,90100107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,477.0,4.77,4.77,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 100, ""aj"": 0}",1.0,1,ai,"[""ai""]",0,477,123,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N100,neutral_per_query,,10,100,1,90200107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,669.0,6.69,6.69,"{""aa"": 100, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0}",1.0,1,aa,"[""aa""]",0,669,133,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N100,neutral_per_query,,10,100,2,90300107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,481.0,4.81,4.81,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 100, ""ah"": 0, ""ai"": 0, ""aj"": 0}",1.0,1,ag,"[""ag""]",0,481,112,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N200,neutral_per_query,,10,200,0,90100207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 194, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 6, ""ai"": 0, ""aj"": 0}",0.97,2,ac,"[""ac"", ""ah""]",0,20000,1761,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N200,neutral_per_query,,10,200,1,90200207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 9, ""ag"": 0, ""ah"": 191, ""ai"": 0, ""aj"": 0}",0.955,2,ah,"[""af"", ""ah""]",0,20000,1749,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q10_N200,neutral_per_query,,10,200,2,90300207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 0, ""ab"": 11, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 189}",0.945,2,aj,"[""ab"", ""aj""]",0,20000,1769,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q2_N100,neutral_per_query,,2,100,0,90020107,"{""aa"": 50, ""ab"": 50}",100,True,559.0,5.59,5.59,"{""aa"": 0, ""ab"": 100}",1.0,1,ab,"[""ab""]",0,559,160,0,1.0,0.2,0.9,16
