model_label,set_name,q,n_queries,beta,beta_ci_lo,beta_ci_hi,h_range,overturn_lead,h_at_bound,neutral_beta_q_N50,neutral_beta_gridmatched
gemma4_31B_dense,ai_governance_q4,4,1050,5.83913833714269,4.972653126816998,7.073788281062514,1.9408852599444324,0.1661962046350644,False,,
gemma4_31B_dense,ai_values_q10,10,2100,11.633378508114482,10.438452547353949,12.989864308875168,4.545097266663145,0.1953472614809559,False,36.43620050011357,38.114479739067455
gemma4_31B_dense,beverage_q5,5,1050,15.449482693224311,11.89203059446742,24.056314161965847,0.8197507713649581,0.0265300394725991,False,24.199404197386592,26.88342712570756
gemma4_31B_dense,energy_q2_anchor,2,1050,0.3439511068074946,0.0119915418207824,0.7227334440903693,3.4026971191065782,4.946483746905091,False,2.627484879760316,2.6274859276145963
gemma4_31B_dense,energy_q3,3,1050,2.7790097774557694,2.458315980584429,3.280299610669333,4.797560533728217,0.8631780594382192,False,13.341459869205387,13.662001782907382
gemma4_31B_dense,justice_q3,3,1050,1.873313629308935,1.7040081517786816,2.072881667263088,2.53277867117811,0.6760156525718685,False,13.341459869205387,13.662001782907382
gemma4_31B_dense,pets_q7,7,1960,16.662911949022437,13.400192953974432,23.047071582689128,0.7420999367239268,0.0222680147081814,False,,
gemma4_31B_dense,policy_priorities_q10,10,2100,5.009038173438059,4.67759968139843,5.333386729973765,1.9178999756624249,0.1914439368652319,False,36.43620050011357,38.114479739067455
gemma4_31B_dense,political_ideology_q6,6,1680,3.898892607866788,3.653345950529289,4.188183499350219,2.7852137937699983,0.3571801116232694,False,,
gemma4_31B_dense,speech_q3,3,1050,5.6649742528081735,4.752811541626618,7.303915808033567,1.0100714230813732,0.0891505749192657,False,13.341459869205387,13.662001782907382
gemma4_E4B_it,ai_governance_q4,4,1050,6.10152204070415,5.501498725883305,6.982952409533587,3.457180255257885,0.2833047420131016,False,,
gemma4_E4B_it,ai_values_q10,10,2100,8.10342720529214,7.720437051053616,8.652481521424514,3.55313589255362,0.2192366144927641,False,16.372497649515218,16.79636341991789
gemma4_E4B_it,beverage_q5,5,1050,8.830119232365508,7.934991929187887,10.02131102277392,2.1938579476725457,0.1242258394219231,False,9.233279872886632,9.92536691065889
gemma4_E4B_it,energy_q2_anchor,2,1050,7.141844638842565,6.450878500780068,7.389537829031383,15.0,1.0501488591910169,True,4.815495890368881,4.815495841504724
gemma4_E4B_it,energy_q3,3,1050,5.4577503288892855,4.696169536285039,6.329201891148244,11.714331913484727,1.0731831988976974,False,6.317273293392594,6.182053547367945
gemma4_E4B_it,justice_q3,3,1050,4.410922385271642,3.852751509594372,5.093882697685601,7.76881035761175,0.8806333096624319,False,6.317273293392594,6.182053547367945
gemma4_E4B_it,pets_q7,7,1960,11.735225766873468,11.001008690038836,13.029280228129831,3.603712144011261,0.153542514460349,False,,
gemma4_E4B_it,policy_priorities_q10,10,2100,11.502459443760852,10.843783018833609,12.503842536117354,3.993648607164941,0.1735997691055181,False,16.372497649515218,16.79636341991789
