model_label,set_name,q,option,h,h_centred
gemma4_31B_dense,ai_governance_q4,4,open-source AI,0.9677267394235078,0.9231960809212286
gemma4_31B_dense,ai_governance_q4,4,corporate self-regulation,-0.9731585205209244,-1.0176891790232037
gemma4_31B_dense,ai_governance_q4,4,government regulation,0.18355441510653342,0.1390237566042542
gemma4_31B_dense,ai_governance_q4,4,international AI treaty,0.0,-0.044530658502279205
gemma4_31B_dense,ai_values_q10,10,helpfulness,-0.9634702837362804,0.11929408026661747
gemma4_31B_dense,ai_values_q10,10,honesty,-0.8409775742880277,0.24178678971487022
gemma4_31B_dense,ai_values_q10,10,harmlessness,-3.440382770121972,-2.357618406119074
gemma4_31B_dense,ai_values_q10,10,privacy,-1.0280915814329257,0.05467278256997221
gemma4_31B_dense,ai_values_q10,10,fairness,1.1047144965411728,2.1874788605440707
gemma4_31B_dense,ai_values_q10,10,transparency,-0.685603290157749,0.39716107384514887
gemma4_31B_dense,ai_values_q10,10,autonomy,-2.1900140560750834,-1.1072496920721855
gemma4_31B_dense,ai_values_q10,10,robustness,-0.857317583799941,0.22544678020295683
gemma4_31B_dense,ai_values_q10,10,accountability,-1.9265009969581732,-0.8437366329552753
gemma4_31B_dense,ai_values_q10,10,efficiency,0.0,1.0827643640028979
gemma4_31B_dense,beverage_q5,5,coffee,0.3113136430672953,-0.057753898182271
gemma4_31B_dense,beverage_q5,5,tea,0.23289627851874084,-0.13617126273082547
gemma4_31B_dense,beverage_q5,5,water,0.8197507713649581,0.4506832301153918
gemma4_31B_dense,beverage_q5,5,juice,0.48137701329683724,0.11230947204727093
gemma4_31B_dense,beverage_q5,5,soda,0.0,-0.3690675412495663
gemma4_31B_dense,energy_q2_anchor,2,renewable energy,3.4026971191065782,1.7013485595532891
gemma4_31B_dense,energy_q2_anchor,2,fossil fuels,0.0,-1.7013485595532891
gemma4_31B_dense,energy_q3,3,renewable energy,4.797560533728217,2.018207890904352
gemma4_31B_dense,energy_q3,3,nuclear power,3.5404973947433795,0.7611447519195145
gemma4_31B_dense,energy_q3,3,fossil fuels,0.0,-2.779352642823865
gemma4_31B_dense,justice_q3,3,rehabilitative justice,-0.17269258478080954,0.729131167205497
gemma4_31B_dense,justice_q3,3,punitive justice,-2.53277867117811,-1.6309549191918036
gemma4_31B_dense,justice_q3,3,restorative justice,0.0,0.9018237519863065
gemma4_31B_dense,pets_q7,7,cats,0.3165392683735977,0.4032015572354815
gemma4_31B_dense,pets_q7,7,dogs,-0.044137452607917724,0.04252483625396611
gemma4_31B_dense,pets_q7,7,birds,0.032393102386293594,0.11905539124817743
gemma4_31B_dense,pets_q7,7,fish,-0.42556066835032913,-0.3388983794884453
gemma4_31B_dense,pets_q7,7,rabbits,-0.3779128669797547,-0.29125057811787086
gemma4_31B_dense,pets_q7,7,hamsters,-0.10795740485507649,-0.021295115993192656
gemma4_31B_dense,pets_q7,7,reptiles,0.0,0.08666228886188383
gemma4_31B_dense,policy_priorities_q10,10,healthcare,0.31322970164557573,0.3616276864848033
gemma4_31B_dense,policy_priorities_q10,10,education,0.028516682699450336,0.07691466753867793
gemma4_31B_dense,policy_priorities_q10,10,climate policy,0.3132234287986958,0.3616214136379234
gemma4_31B_dense,policy_priorities_q10,10,economic growth,0.7737454958322972,0.8221434806715249
gemma4_31B_dense,policy_priorities_q10,10,public safety,-1.1441544798301277,-1.0957564949909002
gemma4_31B_dense,policy_priorities_q10,10,housing,0.12297408352469155,0.17137206836391916
gemma4_31B_dense,policy_priorities_q10,10,immigration,-0.5523722721955524,-0.5039742873563248
gemma4_31B_dense,policy_priorities_q10,10,digital rights,0.617226737560553,0.6656247223997807
gemma4_31B_dense,policy_priorities_q10,10,national defense,-0.9563692264278595,-0.9079712415886318
gemma4_31B_dense,policy_priorities_q10,10,social welfare,0.0,0.048397984839227595
gemma4_31B_dense,political_ideology_q6,6,liberalism,1.939038807074045,1.4379345773546466
gemma4_31B_dense,political_ideology_q6,6,conservatism,-0.8461749866959533,-1.3472792164153515
gemma4_31B_dense,political_ideology_q6,6,socialism,1.8234568319794549,1.3223526022600565
gemma4_31B_dense,political_ideology_q6,6,libertarianism,-0.08847027642806068,-0.589574506147459
gemma4_31B_dense,political_ideology_q6,6,green politics,0.17877500238690358,-0.3223292273324947
